n,naive,fft
10,0.3054,9.5821
20,1.2569,8.8575
30,2.5146,6.7837
40,2.2953,11.6179
50,6.7809,10.1536
60,8.9961,10.6445
70,9.797,18.355
80,10.7739,21.1615
90,16.5511,23.7031
100,19.5582,19.1435
110,17.8779,18.4489
120,23.5963,17.8362
130,25.4854,20.9912
140,27.2391,19.7073
150,29.1347,19.7413
160,36.5265,20.5841
170,42.8498,17.4515
180,49.2184,19.3954
190,51.58,21.2172
200,60.3852,19.6332
210,51.555,20.9464
220,63.7221,24.2864
230,64.9575,12.7259
240,51.0168,10.1307
250,61.9203,20.8369
260,84.5382,32.8147
270,86.7261,17.1191
280,100.654,24.6435
290,114.986,26.6212
300,116.975,25.7961
310,118.003,17.9053
320,118.826,28.6426
330,171.213,28.7037
340,174.431,27.3985
350,143.109,29.0859
360,172.215,24.74
370,103.957,25.9178
380,177.26,26.6531
390,146.119,27.6798
400,168.813,13.9845
410,178.632,27.0503
420,211.865,25.6701
430,199.643,24.1771
440,219.683,22.343
450,139.695,9.7714
460,187.673,29.3104
470,169.466,27.1146
480,238.647,28.4221
490,340.661,30.7404
500,420.234,32.4241
