n,naive,fft
100,1.4092,8.2273
200,6.7507,6.7787
300,14.3169,9.8841
400,22.4692,4.3118
500,43.0593,4.102
600,53.4959,13.6718
700,79.6393,6.4139
800,103.389,4.4755
900,109.809,5.0367
1000,172.125,6.0628
1100,153.21,12.6299
1200,207.427,10.9154
1300,191.269,7.3996
1400,281.19,8.8321
1500,266.561,7.4633
1600,311.807,12.521
1700,313.798,8.1534
1800,311.709,7.5014
1900,342.38,2.9406
2000,305.568,6.2846
2100,252.232,11.2649
2200,442.339,13.7557
2300,377.641,5.976
2400,446.217,16.8907
2500,560.622,5.4351
2600,552.257,7.9096
2700,596.62,15.2832
2800,572.319,14.3821
2900,747.531,14.9074
3000,588.288,13.2685
3100,741.604,16.3519
3200,697.59,8.1965
3300,674.342,12.0663
3400,785.827,15.0909
3500,846.719,14.4296
3600,926.714,5.8087
3700,732.885,18.3746
3800,1255.14,15.0365
3900,1305.18,12.417
4000,1103.58,14.81
4100,1168.63,35.5458
4200,1024,22.2501
4300,1241.64,15.6359
4400,1143.53,21.9431
4500,1180.15,20.095
4600,1377.65,25.2404
4700,1362,24.835
4800,1626.19,25.2449
4900,1375.96,20.8765
5000,1261.92,25.1266
5100,2222.52,31.0879
5200,1578.37,11.6678
5300,1668.66,18.7669
5400,1806.52,30.1605
5500,1786.38,23.8951
5600,1753.92,25.3449
5700,1797.15,23.9606
5800,2386.67,20.6705
5900,2220.45,13.708
6000,2199.6,21.9223
6100,2005,13.3168
6200,2067.35,18.2668
6300,2223.35,22.578
6400,2330.2,12.4745
6500,2257.12,10.3469
6600,2447.09,16.7956
6700,2488.41,18.1016
6800,2626.07,20.4489
6900,2624.02,25.4096
7000,3140.18,25.6167
7100,2830.38,26.0913
7200,2876.57,26.2976
7300,3028.85,15.1979
7400,2865.04,21.4269
7500,3155.83,27.5231
7600,3106.24,27.6979
7700,3241.73,27.4318
7800,3561.44,27.7717
7900,3245.15,23.2599
8000,3219.24,25.1185
8100,3467.94,28.266
8200,3469.93,59.6416
8300,4080.86,37.1177
8400,3708.81,43.9775
8500,3905.57,42.7915
8600,3959.76,22.6555
8700,3994.83,43.1114
8800,4023.81,48.199
8900,4259.62,40.9376
9000,4280.73,24.1374
9100,4732.83,41.7098
9200,4701.85,42.5338
9300,4730.34,25.1883
9400,4444.58,46.409
9500,5067.81,48.4774
9600,4972.28,44.4885
9700,5646.98,41.608
9800,4792.93,34.7003
9900,5496.79,47.0386
10000,4985.25,28.0093
