trial,k,target_index,expected_sample,expected_ms,expected_m,sh_found_sample,sh_found_ms,sh_norm_amp,sh_detected,sh_time_error_ms,rn_found_sample,rn_found_ms,rn_norm_amp,rn_detected,rn_time_error_ms
0,0,0,20,0.0004,60.0,20,0.0004,1.1425348105690891,True,0.0,20,0.0004,0.9893712615127621,True,0.0
0,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.4281685132113613,True,-8e-05,20,0.0004,1.2367140768909526,True,-8e-05
0,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.6826900299657865,True,0.00024000000000000003,72,0.00144,1.5317844500787157,True,0.00024000000000000003
0,1,0,72,0.00144,216.0,72,0.00144,1.009614017979472,True,0.0,72,0.00144,0.9190706700472293,True,0.0
0,1,1,76,0.00152,228.0,72,0.00144,1.2620175224743397,True,-8e-05,72,0.00144,1.1488383375590365,True,-8e-05
0,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.743466521363902,True,0.00024000000000000003,124,0.00248,1.8716602302827539,True,0.00024000000000000003
0,2,0,124,0.00248,372.0,124,0.00248,1.0460799128183411,True,0.0,124,0.00248,1.1229961381696523,True,0.0
0,2,1,128,0.00256,384.0,124,0.00248,1.3075998910229263,True,-8e-05,124,0.00248,1.4037451727120653,True,-8e-05
0,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.9887720522808601,True,0.0,164,0.0032800000000000004,1.2144828669492809,True,0.0
1,0,0,20,0.0004,60.0,20,0.0004,0.9502647860475597,True,0.0,20,0.0004,0.9527689659685668,True,0.0
1,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.1878309825594495,True,-8e-05,20,0.0004,1.1909612074607083,True,-8e-05
1,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.5903110937151475,True,0.00024000000000000003,72,0.00144,1.5547140156546768,True,0.00024000000000000003
1,1,0,72,0.00144,216.0,72,0.00144,0.9541866562290884,True,0.0,72,0.00144,0.9328284093928061,True,0.0
1,1,1,76,0.00152,228.0,72,0.00144,1.1927333202863604,True,-8e-05,72,0.00144,1.1660355117410075,True,-8e-05
1,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.5726165063336082,True,0.00024000000000000003,124,0.00248,1.7100602159260878,True,0.00024000000000000003
1,2,0,124,0.00248,372.0,124,0.00248,0.9435699038001649,True,0.0,124,0.00248,1.0260361295556526,True,0.0
1,2,1,128,0.00256,384.0,124,0.00248,1.1794623797502062,True,-8e-05,124,0.00248,1.2825451619445656,True,-8e-05
1,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.1049443004192483,True,0.0,164,0.0032800000000000004,0.7770816391195633,True,0.0
2,0,0,20,0.0004,60.0,20,0.0004,0.9933251964483955,True,0.0,20,0.0004,0.9383077082770274,True,0.0
2,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.2416564955604943,True,-8e-05,20,0.0004,1.172884635346284,True,-8e-05
2,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.5186848517312166,True,0.00024000000000000003,72,0.00144,1.5867468261277842,True,0.00024000000000000003
2,1,0,72,0.00144,216.0,72,0.00144,0.91121091103873,True,0.0,72,0.00144,0.9520480956766705,True,0.0
2,1,1,76,0.00152,228.0,72,0.00144,1.1390136387984124,True,-8e-05,72,0.00144,1.190060119595838,True,-8e-05
2,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.8462298152222711,True,0.00024000000000000003,124,0.00248,1.5629861122942321,True,0.00024000000000000003
2,2,0,124,0.00248,372.0,124,0.00248,1.1077378891333627,True,0.0,124,0.00248,0.9377916673765392,True,0.0
2,2,1,128,0.00256,384.0,124,0.00248,1.3846723614167034,True,-8e-05,124,0.00248,1.1722395842206739,True,-8e-05
2,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.1925338261871319,True,0.0,164,0.0032800000000000004,1.0699933065007416,True,0.0
3,0,0,20,0.0004,60.0,20,0.0004,0.8672352099221471,True,0.0,20,0.0004,0.8764494316039582,True,0.0
3,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.0840440124026838,True,-8e-05,20,0.0004,1.0955617895049476,True,-8e-05
3,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.8084460620411136,True,0.00024000000000000003,72,0.00144,1.50562228740079,True,0.00024000000000000003
3,1,0,72,0.00144,216.0,72,0.00144,1.0850676372246681,True,0.0,72,0.00144,0.903373372440474,True,0.0
3,1,1,76,0.00152,228.0,72,0.00144,1.3563345465308352,True,-8e-05,72,0.00144,1.1292167155505923,True,-8e-05
3,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.5759847354352623,True,0.00024000000000000003,124,0.00248,1.7214558621481095,True,0.00024000000000000003
3,2,0,124,0.00248,372.0,124,0.00248,0.9455908412611573,True,0.0,124,0.00248,1.0328735172888657,True,0.0
3,2,1,128,0.00256,384.0,124,0.00248,1.1819885515764466,True,-8e-05,124,0.00248,1.291091896611082,True,-8e-05
3,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.9766232903588334,True,0.0,164,0.0032800000000000004,1.0413699391554103,True,0.0
4,0,0,20,0.0004,60.0,20,0.0004,0.9264086670358644,True,0.0,20,0.0004,1.0477570134864964,True,0.0
4,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.1580108337948305,True,-8e-05,20,0.0004,1.3096962668581205,True,-8e-05
4,0,2,60,0.0012000000000000001,180.0,76,0.00152,1.5841819215780575,True,0.00032,72,0.00144,1.5593604341075904,True,0.00024000000000000003
4,1,0,72,0.00144,216.0,76,0.00152,0.9505091529468345,True,8e-05,72,0.00144,0.9356162604645542,True,0.0
4,1,1,76,0.00152,228.0,76,0.00152,1.1881364411835431,True,0.0,72,0.00144,1.1695203255806925,True,-8e-05
4,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.6509822543804986,True,0.00024000000000000003,124,0.00248,1.5422038156203273,True,0.00024000000000000003
4,2,0,124,0.00248,372.0,124,0.00248,0.9905893526282992,True,0.0,124,0.00248,0.9253222893721963,True,0.0
4,2,1,128,0.00256,384.0,124,0.00248,1.238236690785374,True,-8e-05,124,0.00248,1.1566528617152454,True,-8e-05
4,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.9679613920996066,True,0.0,164,0.0032800000000000004,0.9147705460126676,True,0.0
5,0,0,20,0.0004,60.0,20,0.0004,0.9519126518448453,True,0.0,20,0.0004,0.9882332777013425,True,0.0
5,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.1898908148060565,True,-8e-05,20,0.0004,1.235291597126678,True,-8e-05
5,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.7629373327240743,True,0.00024000000000000003,72,0.00144,1.5078901882047513,True,0.00024000000000000003
5,1,0,72,0.00144,216.0,72,0.00144,1.0577623996344445,True,0.0,72,0.00144,0.9047341129228508,True,0.0
5,1,1,76,0.00152,228.0,72,0.00144,1.3222029995430555,True,-8e-05,72,0.00144,1.1309176411535633,True,-8e-05
5,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.5993590744902435,True,0.00024000000000000003,124,0.00248,1.517560211835645,True,0.00024000000000000003
5,2,0,124,0.00248,372.0,124,0.00248,0.9596154446941461,True,0.0,124,0.00248,0.910536127101387,True,0.0
5,2,1,128,0.00256,384.0,124,0.00248,1.1995193058676825,True,-8e-05,124,0.00248,1.1381701588767337,True,-8e-05
5,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.8551892948953754,True,0.0,164,0.0032800000000000004,0.9709475455296492,True,0.0
6,0,0,20,0.0004,60.0,20,0.0004,0.9950691052942858,True,0.0,20,0.0004,0.8939926105750235,True,0.0
6,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.2438363816178573,True,-8e-05,20,0.0004,1.1174907632187794,True,-8e-05
6,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.704024480462537,True,0.00024000000000000003,72,0.00144,1.5077908651295489,True,0.00024000000000000003
6,1,0,72,0.00144,216.0,72,0.00144,1.0224146882775222,True,0.0,72,0.00144,0.9046745190777292,True,0.0
6,1,1,76,0.00152,228.0,72,0.00144,1.2780183603469026,True,-8e-05,72,0.00144,1.1308431488471615,True,-8e-05
6,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.8783689483861774,True,0.00024000000000000003,124,0.00248,1.5686789675253625,True,0.00024000000000000003
6,2,0,124,0.00248,372.0,124,0.00248,1.1270213690317064,True,0.0,124,0.00248,0.9412073805152175,True,0.0
6,2,1,128,0.00256,384.0,124,0.00248,1.4087767112896328,True,-8e-05,124,0.00248,1.1765092256440217,True,-8e-05
6,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.0442658636970223,True,0.0,164,0.0032800000000000004,1.2121120892643271,True,0.0
7,0,0,20,0.0004,60.0,20,0.0004,1.0633077933040105,True,0.0,20,0.0004,0.8924363201830751,True,0.0
7,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.329134741630013,True,-8e-05,20,0.0004,1.1155454002288439,True,-8e-05
7,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.5138541232441451,True,0.00024000000000000003,72,0.00144,1.5648631945598133,True,0.00024000000000000003
7,1,0,72,0.00144,216.0,72,0.00144,0.9083124739464871,True,0.0,72,0.00144,0.938917916735888,True,0.0
7,1,1,76,0.00152,228.0,72,0.00144,1.1353905924331087,True,-8e-05,72,0.00144,1.17364739591986,True,-8e-05
7,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.6569742894137762,True,0.00024000000000000003,124,0.00248,1.5428231982489515,True,0.00024000000000000003
7,2,0,124,0.00248,372.0,124,0.00248,0.9941845736482657,True,0.0,124,0.00248,0.9256939189493709,True,0.0
