case_Delta,case_a2,k,target_index,expected_sample,expected_ms,expected_m,sh_found_sample,sh_found_ms,sh_amp,sh_found_m,rn_found_sample,rn_found_ms,rn_amp,rn_found_m
4,0.9,0,0,20,0.0004,60.0,20,0.0004,0.9252549094184203,60.0,20,0.0004,0.9504638296041716,60.0
4,0.9,0,1,24,0.00048000000000000007,72.00000000000001,20,0.0004,0.9252549094184203,60.0,20,0.0004,0.9504638296041716,60.0
4,0.9,1,0,132,0.0026400000000000004,396.0,136,0.00272,0.8963539334086862,408.00000000000006,132,0.0026400000000000004,0.9187795230435645,396.0
4,0.9,1,1,136,0.00272,408.00000000000006,136,0.00272,0.8963539334086862,408.00000000000006,132,0.0026400000000000004,0.9187795230435645,396.0
4,0.9,2,0,244,0.004880000000000001,732.0,244,0.004880000000000001,0.8734068454418323,732.0,244,0.004880000000000001,0.9251836129334251,732.0
4,0.9,2,1,248,0.00496,744.0,244,0.004880000000000001,0.8734068454418323,732.0,244,0.004880000000000001,0.9251836129334251,732.0
4,0.9,3,0,356,0.0071200000000000005,1068.0,356,0.0071200000000000005,1.0,1068.0,356,0.0071200000000000005,0.9220797461251197,1068.0
4,0.9,3,1,360,0.007200000000000001,1080.0,356,0.0071200000000000005,1.0,1068.0,356,0.0071200000000000005,0.9220797461251197,1068.0
4,0.9,4,0,468,0.00936,1404.0,468,0.00936,0.9146490089126575,1404.0,468,0.00936,1.0,1404.0
4,0.9,4,1,472,0.00944,1416.0,468,0.00936,0.9146490089126575,1404.0,468,0.00936,1.0,1404.0
8,0.7,0,0,20,0.0004,60.0,20,0.0004,0.9945262005105342,60.0,20,0.0004,0.962223948023377,60.0
8,0.7,0,1,28,0.0005600000000000001,84.0,20,0.0004,0.9945262005105342,60.0,20,0.0004,0.962223948023377,60.0
8,0.7,1,0,132,0.0026400000000000004,396.0,132,0.0026400000000000004,0.948860885520063,396.0,132,0.0026400000000000004,0.8497681745849222,396.0
8,0.7,1,1,140,0.0028000000000000004,420.0,132,0.0026400000000000004,0.948860885520063,396.0,132,0.0026400000000000004,0.8497681745849222,396.0
8,0.7,2,0,244,0.004880000000000001,732.0,244,0.004880000000000001,1.0,732.0,244,0.004880000000000001,0.9317193528814625,732.0
8,0.7,2,1,252,0.00504,756.0,244,0.004880000000000001,1.0,732.0,244,0.004880000000000001,0.9317193528814625,732.0
8,0.7,3,0,356,0.0071200000000000005,1068.0,356,0.0071200000000000005,0.9546000601821869,1068.0,356,0.0071200000000000005,0.840369932863442,1068.0
8,0.7,3,1,364,0.007280000000000001,1092.0,356,0.0071200000000000005,0.9546000601821869,1068.0,356,0.0071200000000000005,0.840369932863442,1068.0
8,0.7,4,0,468,0.00936,1404.0,468,0.00936,0.9812111728346999,1404.0,468,0.00936,1.0,1404.0
8,0.7,4,1,476,0.00952,1428.0,468,0.00936,0.9812111728346999,1404.0,468,0.00936,1.0,1404.0
14,0.6,0,0,20,0.0004,60.0,20,0.0004,0.8906451182426387,60.0,20,0.0004,1.0,60.0
14,0.6,0,1,34,0.00068,102.00000000000001,20,0.0004,0.8906451182426387,60.0,20,0.0004,1.0,60.0
14,0.6,1,0,132,0.0026400000000000004,396.0,132,0.0026400000000000004,0.863184992028782,396.0,132,0.0026400000000000004,0.8879643194732283,396.0
14,0.6,1,1,146,0.0029200000000000003,438.0,132,0.0026400000000000004,0.863184992028782,396.0,132,0.0026400000000000004,0.8879643194732283,396.0
14,0.6,2,0,244,0.004880000000000001,732.0,244,0.004880000000000001,0.9513995927231532,732.0,244,0.004880000000000001,0.9749143978996107,732.0
14,0.6,2,1,258,0.0051600000000000005,774.0,244,0.004880000000000001,0.9513995927231532,732.0,244,0.004880000000000001,0.9749143978996107,732.0
14,0.6,3,0,356,0.0071200000000000005,1068.0,356,0.0071200000000000005,1.0,1068.0,356,0.0071200000000000005,0.9608999224632359,1068.0
14,0.6,3,1,370,0.0074,1110.0,356,0.0071200000000000005,1.0,1068.0,356,0.0071200000000000005,0.9608999224632359,1068.0
14,0.6,4,0,468,0.00936,1404.0,468,0.00936,0.8743997992566868,1404.0,468,0.00936,0.8850279155538254,1404.0
14,0.6,4,1,482,0.009640000000000001,1446.0000000000002,468,0.00936,0.8743997992566868,1404.0,468,0.00936,0.8850279155538254,1404.0
